,IRIG_TIME,Delta_Irig,ICU_EVNT_CNT,FMT_VER,POS_AOA,POS_AOSS,POS_ELEV,POS_RUD,POS_RPED,POS_AIL_L,POS_AIL_R,POS_YOKE_LAT,POS_YOKE_LON,FOR_RPED_L,FOR_RPED_R,FOR_RPED,FOR_YOKE_LAT,FOR_YOKE_LON,FF_VOL_LE,FF_VOL_RE,FF_MASS_LE,FF_MASS_RE,TMP_FT_LE,TMP_FT_RE,TORQ_LE,TORQ_RE,TORQ_LE_PSI,TORQ_RE_PSI,RPM_PROP_LE,RPM_PROP_RE,RPM_N1_LE,RPM_N1_RE,PARO_BM_TP,PARO_BM_SP,PARO_PD_TP,PARO_PD_SP,TAT_01,TAT_02,ANA_PITCH_RATE,ANA_ROLL_RATE,ANA_YAW_RATE,ANA_LAT_ACCEL,ANA_LONG_ACCEL,ANA_NORM_ACCEL,GPS_P_ALT,GPS_P_ALTM,GPS_P_ALTS,GPS_P_LAT1,GPS_P_LAT2,GPS_P_LATD,GPS_P_LON1,GPS_P_LON2,GPS_P_LOND,GPS_CTN,GPS_SPD,AHRS_MAGH,AHRS_PA,AHRS_RA,AHRS_EPRT,AHRS_ERRT,AHRS_EYRT,AHRS_BLGA,AHRS_BLTA,AHRS_BNMA,AHRS_BNMAR,AHRS_AHA,AHRS_CHA,AHRS_VA,AHRS_BPRT,AHRS_BRRT,AHRS_BYRT,ADC_ALT_29,ADC_ALT_B,ADC_IAS,ADC_MACH,ADC_TAS,ADC_VS,ADC_SAT,ADC_TAT
0,322:21:47:51.000000,701.5,6,5,0.7845397799999994,-1.4722879799999973,-0.8754274548248256,2.0177214589235746,0.40407711537258617,0.5111042653125004,0.492348718538242,0.36896918917538457,2.00446713,5.82099867,8.54126113000001,2.7202624600000096,-57.76708294999999,-81.55861975,1.1155138403561622,-0.002995931325932719,451.1875866147232,-1.2118203190269314,68.75643328971974,68.64285917825765,93.48526044,94.5217816,12.9834292347,16.4476506836,1922.4842072985607,1911.3427352852398,95.28017757009344,95.46498963280048,25.143295288085934,23.98188781738281,25.13798522949219,23.85848999023437,267.3746015556762,252.08913364765675,-41.3571609216,-1.894606174399996,1.026800978899999,-4.1042055681,0.061107702400000186,5.197024496499999,6378.608923884508,1944.2,0,34,56.04279,1,117,58.94302,1,321.27,177.29,314.8015564202333,9.333170567949454,1.0711996826075003,0.1757866145817438,0.6054872280037842,0.2617267372661519,0.15063936277352244,0.00976592303231912,1.0473647267067476,-0.000244148075807978,-0.02136295663319808,0.04138309884945227,0.05761894589068281,0.17969298379467144,0.6601763969847712,0.2578203680532242,6096,6091,162.5,0.2745,181.125,2112,13.5,17.75
1,322:21:47:54.150000,704.65,6,5,0.6984217800000003,-1.2159443099999976,-0.7617102179568787,1.848790878804316,0.3847003095306479,0.1825538916979994,0.8200218014101112,-1.2644436868441566,1.98148828,5.743164180000001,9.085330060000018,3.3421658800000174,-57.76708294999999,-81.55861975,1.1188013932878944,-0.002995931325932719,452.4959739229322,-1.2117061648931513,68.85245706143697,68.83489150478587,94.72730216,94.94267721000001,13.056838783800002,16.478992683399998,1918.6397048842566,1912.6128071765133,95.68899570930544,95.67616704652097,25.02088928222656,23.86299133300781,25.013397216796875,23.742691040039066,267.3746015556762,252.08913364765675,-41.3571609216,-1.9354578736000008,1.1282432486000005,-4.1148192341000005,0.06391158400000041,5.1549374229,6510.498687664034,1984.4,0,34,56.16774,1,117,59.06373000000001,1,321.64,175.9,315.13115129320204,9.673757133701582,0.3186132389294105,0.3125095370342112,-1.0742515335551008,-0.10937833796197392,0.14722128971221074,0.007324442274239342,0.9870601519821772,-0.012939848017822836,-0.02514725180822173,0.012817773979918849,-0.03137302774132518,0.2461012604144413,-1.0547196874904627,-0.1171910763878292,6218,6215,162.5,0.274875,181.3125,2288,13.25,17.75
2,322:21:47:57.300000,707.8,6,5,0.8370717600000006,-1.334190379999999,-0.740478576642495,1.9031754435176007,0.3944006547452181,0.4299661939519997,0.5692289955790022,-0.06340489934961012,1.9780104,5.667840480000001,9.048682930000012,3.380842450000012,-57.76708294999999,-81.55861975,1.192601288410578,-0.002995931325932719,482.3441271512826,-1.211934473160712,68.85245706143697,68.45082685172943,94.47713828,94.52612073,13.0420531149,16.447973797,1919.1048860467936,1910.1895873303167,95.48414905004014,95.57366144368557,24.8931884765625,23.753799438476566,24.88848876953125,23.632293701171875,267.3746015556762,252.08913364765675,-41.3571609216,-1.7720510767999968,1.048091331800002,-4.105602103100001,0.06426206919999976,5.1584692053,6635.498687664034,2022.5,0,34,56.28245,1,117,59.17405,1,321.4899999999999,174.64999999999995,314.9993133440145,9.657277138584544,-0.9997863704336672,-0.20313119907223728,0.2734458449049348,-0.21094393749809254,0.14770958586382674,0.007812738425855295,0.9825434125797295,-0.0009765923032319119,-0.019287697988830264,-0.009277626880703164,-0.006591998046815407,-0.1992248298593096,0.30860316782128355,-0.21094393749809254,6344,6339,161.25,0.273375,180.375,2384,13.25,17.5
3,322:21:48:00.450000,710.95,6,5,0.8697965999999971,-0.9613268599999962,-0.8027205033106448,1.9099724336049209,0.39727584222669865,0.4457830062845005,0.5569076226281116,0.016224882387849245,1.99217034,5.808444720000001,9.045863920000016,3.237419200000016,-57.76708294999999,-81.55861975,1.1432270964748985,-0.002995931325932719,462.37487863172515,-1.2118773960938218,68.85245706143697,68.54684301499356,94.56930391999998,94.71270332,13.0475004666,16.4618676732,1914.1159790822805,1912.3817594829666,95.618480605614,95.74034478132546,24.76348876953125,23.63238525390625,24.759292602539066,23.51229858398437,267.3746015556762,252.08913364765675,-41.3571609216,-1.8411847216000008,1.0493437055,-4.1138416596,0.06286012840000055,5.1812786333,6770.341207349074,2063.6,0,34,56.40537,1,117,59.29365,1,321.04,173.39,314.80704966811606,9.690237128818621,-0.9283730582598338,0.0195318460646382,0.238288521988586,0.0,0.14978484450819451,0.018311105685598357,1.0180669576097905,0.00122074037903989,-0.023926511429181847,0.00610370189519945,0.0289315469832454,0.0195318460646382,0.2578203680532242,0.0,6473,6465,160.75,0.27325,180.1875,2400,13.25,17.5
4,322:21:48:03.600000,714.1,6,5,0.8594624399999979,-0.024852509999998773,-0.6816685123370404,1.9361871561006996,0.4019624253519885,0.6750699065805001,0.3280134904407621,1.2344391003849964,1.96621045,5.90385474,9.110701150000013,3.206846410000012,-57.76708294999999,-81.55861975,1.1554038144253227,-0.002995931325932719,467.2777028877532,-1.2118773960938218,68.94848083315419,68.54684301499356,94.14797528,94.64761637000002,13.0225982874,16.4570209722,1910.4201055934354,1903.643122294372,95.72750234741785,95.57366144368557,24.647186279296875,23.524688720703125,24.64219665527344,23.40438842773437,267.3746015556762,252.08913364765675,-41.3571609216,-1.7029174319999925,1.0931767850000045,-4.1331138426,0.060056246800000324,5.1534658469,6905.183727034113,2104.7,0,34,56.52652000000001,1,117,59.41334,1,320.72,172.29999999999995,314.6147859922178,9.333170567949454,-0.14282662434766674,-0.34766685995056,-0.378917813653981,0.5507980590227972,0.14831995605334666,-0.012817773979918849,1.0076906643879513,-0.01245155186620688,-0.017212439344462455,-0.015259254737998627,0.018311105685598357,-0.34766685995056,-0.4687643055513168,0.5429853205969419,6599,6594,159.75,0.272375,179.625,2400,13.0,17.25
5,322:21:48:06.750000,717.25,6,5,0.8207093400000005,-0.575516689999997,-0.7871706993701758,1.9458954120010503,0.40558691142820624,0.6162748428125004,0.3927979372377113,0.8357478914462318,1.99192192,5.92143027,8.98948372000001,3.0680534500000096,-57.76708294999999,-81.55861975,1.0985657335456425,-0.002995931325932719,444.3117201152618,-1.2118773960938218,68.85245706143697,68.54684301499356,94.04264311999998,94.48706856,13.016372742599998,16.4450657764,1908.8076451437876,1915.0421829069132,95.64411043355892,95.66975400496011,24.51278686523437,23.407485961914066,24.5076904296875,23.29229736328125,267.3746015556762,252.08913364765675,-41.3571609216,-1.7814783919999968,1.0956815324000004,-4.118031264600001,0.0572523652000001,5.1131446645,7032.808398950125,2143.6,0,34,56.63766,1,117,59.52387,1,320.65,171.95,314.2906843671319,8.805810724204223,0.04394665364543592,-0.09375286111026335,-0.3242286446729941,0.8359630115665149,0.155522324289682,0.0032959990234077037,0.9526352732932521,-0.05639820551164292,0.00769066438795131,0.004028443250831636,-0.03479110080263687,-0.09375286111026335,-0.4531388286996062,0.8242439039277318,6720,6715,158.25,0.27025,178.125,2320,13.0,17.0
6,322:21:48:09.900000,720.4,6,5,1.0230866399999987,0.16071614000000167,-0.8514442794182198,1.9468662108673775,0.4070961272448388,0.7327448540480006,0.2711630784000008,1.4319617400473916,2.0053366,6.132336630000001,8.679392620000016,2.5470559900000147,-57.76708294999999,-81.55861975,1.1458147800281542,-0.002995931325932719,463.4214597288344,-1.211934473160712,68.85245706143697,68.45082685172943,93.67398056,94.00542513000002,12.9945833358,16.409200189,1921.3175805570727,1919.337561226964,95.77889276607168,95.76603998926463,24.42839050292969,23.31439208984375,24.423599243164066,23.1962890625,267.3746015556762,252.08913364765675,-41.3571609216,-1.7877632687999918,1.1006910272,-4.1340914171000005,0.0598810042000002,5.172154862099999,7144.685039370071,2177.7,0,34,56.75789,1,117,59.64382,1,320.55,171.91,314.69718471045996,8.684957426679274,0.09338663899655132,-0.10156559953611864,-0.4570451979125338,0.6054872280037842,0.15356913968321814,-0.011597033600878956,0.9954832605975524,0.0019531846064638238,0.0013428144169438793,-0.0100100711081271,0.007324442274239342,-0.10156559953611864,-0.5507980590227972,0.5976744895779289,6834,6829,159.5,0.27275,179.75,2176,12.5,16.75
7,322:21:48:13.050000,723.55,6,5,0.9783052800000008,-0.29500593999999936,-0.8852979684321501,1.9303619691391016,0.4086047632117769,0.5973611121245002,0.4066168199924407,0.7636255747066016,2.01105026,6.270430080000001,8.696306680000019,2.42587660000002,-57.76708294999999,-81.55861975,1.1492832662410273,-0.002995931325932719,464.80238156696123,-1.2118203190269314,68.94848083315419,68.64285917825765,95.51290451999996,94.62592072,13.1032709721,16.4554054052,1913.306285351704,1913.4219139421045,95.96564647347543,95.70824515523371,24.31988525390625,23.206787109375,24.315887451171875,23.089996337890625,267.3746015556762,252.08913364765675,-41.3571609216,-1.8568969135999964,1.090672037600001,-4.1247346326,0.0598810042000002,5.159499308499999,7266.732283464558,2214.9,0,34,56.86863,1,117,59.75452,1,320.68999999999994,171.6,315.2300297550925,8.778344065675826,1.7194128238776805,0.035157322916348765,-0.2812585833307901,0.6328318124942777,0.15234839930417826,0.003051850947599725,0.97827082125309,-0.00488296151615956,-0.003051850947599725,0.03222754600665309,0.002197332682271802,0.05468916898098696,-0.378917813653981,0.6250190740684224,6948,6943,159.25,0.273375,180.125,2160,12.25,16.5
8,322:21:48:16.200000,726.7,6,5,0.8164034399999984,-0.5573913799999985,-0.740478576642495,1.9313328457990844,0.4117710130634,0.5637183028124992,0.447322610875962,0.695305333770392,1.97502936,7.842184620000001,8.865447280000012,1.023262660000011,-57.76708294999999,-81.55861975,1.1897986564054723,-0.002995931325932719,481.2559493322791,-1.2118773960938218,68.66040951800251,68.54684301499356,96.52672655999999,94.96871199,13.1631918408,16.4809313638,1911.9198315217393,1910.3048395076623,96.17904716981131,96.01729297006392,24.205398559570316,23.10868835449219,24.2001953125,22.9927978515625,267.3746015556762,252.08913364765675,-41.3571609216,-1.7657662000000016,1.0881672902000048,-4.116914036600001,0.05953051899999995,5.111525930899999,7381.561679790018,2249.9,0,34,56.98903000000001,1,117,59.87304,1,321.29,171.36,315.6475165941862,8.51466414380321,1.9995727408673345,-0.2500076296273689,-0.2812585833307901,0.6523636585589159,0.15698721274452987,0.0013428144169438793,0.9599597155674916,-0.043458357493820085,0.013061922055726823,0.03491317484054086,-0.027954954680013484,-0.2265694143498031,-0.378917813653981,0.6562700277718435,7064,7059,158.0,0.27187500000000003,179.0,2192,12.25,16.5
9,322:21:48:19.350000,729.85,6,5,0.8258764200000002,-0.6928996499999976,-0.7836356611836921,1.9439537996976035,0.4152358827183695,1.1957911921999995,-0.18315112872399908,3.5584914427298315,1.99726295,5.258581710000001,8.910551440000006,3.6519697300000047,-57.76708294999999,-81.55861975,1.1778043169574084,-0.002995931325932719,476.3595350252975,-1.2117061648931513,68.85245706143697,68.83489150478587,96.3994502,95.28112935,13.155669307499998,16.5041955286,1918.0585454655602,1916.43317051026,96.25039179985164,95.92694804758386,24.12078857421875,23.01849365234375,24.114990234375,22.901687622070316,267.3746015556762,252.08913364765675,-41.3571609216,-1.8003330223999967,1.0130248682000058,-4.118589878600001,0.05830382079999996,5.1275661093,7498.359580052485,2285.5,0,34,57.10126,1,117,59.981,1,322.0,171.8,316.32318608377193,7.937864314706863,2.7741325113681428,-0.1562547685171056,1.0000305185094758,0.6523636585589159,0.15234839930417826,0.00622577593310344,0.9707022309030426,-0.035401470992156805,0.016968291268654474,0.05322428052613921,-0.019043549913022286,-0.12500381481368447,0.9062776573992124,0.6523636585589159,7175,7170,158.5,0.273,179.6875,2128,12.0,16.25
